season,league_indicator,conference_id,conference_display,division_id,division_display,team_id,is_division_champion,is_conference_champion,notes
1961,N,NFLWC,NFL Western Conference,,,BC096,0,0,
1961,N,NFLWC,NFL Western Conference,,,DL069,0,0,
1961,N,NFLWC,NFL Western Conference,,,GP020,0,1,
1961,N,NFLWC,NFL Western Conference,,,S4086,0,0,
1961,N,NFLWC,NFL Western Conference,,,MV108,0,0,
1961,A,,,AFCE,AFL East,HO099,1,0,
1961,A,,,AFCE,AFL East,NT100,0,0,
1961,A,,,AFCE,AFL East,BB101,0,0,
1961,A,,,AFCE,AFL East,BP102,0,0,
1961,A,,,AFCW,AFL West,SC107,1,0,
1961,A,,,AFCW,AFL West,DT104,0,0,
1961,A,,,AFCW,AFL West,OR105,0,0,
1961,A,,,AFCW,AFL West,DB106,0,0,
1962,N,NFLEC,NFL Eastern Confrence,,,CB085,0,0,
1962,N,NFLEC,NFL Eastern Confrence,,,NG042,0,1,
1962,N,NFLEC,NFL Eastern Confrence,,,PE066,0,0,
1962,N,NFLEC,NFL Eastern Confrence,,,PS073,0,0,
1962,N,NFLEC,NFL Eastern Confrence,,,SC097,0,0,
1962,N,NFLEC,NFL Eastern Confrence,,,WR071,0,0,
1962,N,NFLEC,NFL Eastern Confrence,,,DC098,0,0,
1962,N,NFLWC,NFL Western Conference,,,LR079,0,0,
1962,N,NFLWC,NFL Western Conference,,,CB026,0,0,
1962,N,NFLWC,NFL Western Conference,,,BC096,0,0,
1962,N,NFLWC,NFL Western Conference,,,DL069,0,0,
1962,N,NFLWC,NFL Western Conference,,,GP020,0,1,
1962,N,NFLWC,NFL Western Conference,,,S4086,0,0,
1962,N,NFLWC,NFL Western Conference,,,MV108,0,0,
1962,A,,,AFCE,AFL East,HO099,1,0,
1962,A,,,AFCE,AFL East,NT100,0,0,
1962,A,,,AFCE,AFL East,BB101,0,0,
1962,A,,,AFCE,AFL East,BP102,0,0,
1962,A,,,AFCW,AFL West,SC107,0,0,
1962,A,,,AFCW,AFL West,DT104,1,0,
1962,A,,,AFCW,AFL West,OR105,0,0,
1962,A,,,AFCW,AFL West,DB106,0,0,
1963,N,NFLEC,NFL Eastern Confrence,,,CB085,0,0,
1963,N,NFLEC,NFL Eastern Confrence,,,NG042,0,1,
1963,N,NFLEC,NFL Eastern Confrence,,,PE066,0,0,
1963,N,NFLEC,NFL Eastern Confrence,,,PS073,0,0,
1963,N,NFLEC,NFL Eastern Confrence,,,SC097,0,0,
1963,N,NFLEC,NFL Eastern Confrence,,,WR071,0,0,
1963,N,NFLEC,NFL Eastern Confrence,,,DC098,0,0,
1963,N,NFLWC,NFL Western Conference,,,LR079,0,0,
1963,N,NFLWC,NFL Western Conference,,,CB026,0,1,
1963,N,NFLWC,NFL Western Conference,,,BC096,0,0,
1963,N,NFLWC,NFL Western Conference,,,DL069,0,0,
1963,N,NFLWC,NFL Western Conference,,,GP020,0,0,
1963,N,NFLWC,NFL Western Conference,,,S4086,0,0,
1963,N,NFLWC,NFL Western Conference,,,MV108,0,0,
1963,A,,,AFCE,AFL East,HO099,0,0,
1963,A,,,AFCE,AFL East,NJ110,0,0,
1963,A,,,AFCE,AFL East,BB101,0,0,
1963,A,,,AFCE,AFL East,BP102,1,0,
1963,A,,,AFCW,AFL West,SC107,1,0,
1963,A,,,AFCW,AFL West,KC109,0,0,
1963,A,,,AFCW,AFL West,OR105,0,0,
1963,A,,,AFCW,AFL West,DB106,0,0,
1964,N,NFLEC,NFL Eastern Confrence,,,CB085,0,1,
1964,N,NFLEC,NFL Eastern Confrence,,,NG042,0,0,
1964,N,NFLEC,NFL Eastern Confrence,,,PE066,0,0,
1964,N,NFLEC,NFL Eastern Confrence,,,PS073,0,0,
1964,N,NFLEC,NFL Eastern Confrence,,,SC097,0,0,
1964,N,NFLEC,NFL Eastern Confrence,,,WR071,0,0,
1964,N,NFLEC,NFL Eastern Confrence,,,DC098,0,0,
1964,N,NFLWC,NFL Western Conference,,,LR079,0,0,
1964,N,NFLWC,NFL Western Conference,,,CB026,0,0,
1964,N,NFLWC,NFL Western Conference,,,BC096,0,1,
1964,N,NFLWC,NFL Western Conference,,,DL069,0,0,
1964,N,NFLWC,NFL Western Conference,,,GP020,0,0,
1964,N,NFLWC,NFL Western Conference,,,S4086,0,0,
1964,N,NFLWC,NFL Western Conference,,,MV108,0,0,
1964,A,,,AFCE,AFL East,HO099,0,0,
1964,A,,,AFCE,AFL East,NJ110,0,0,
1964,A,,,AFCE,AFL East,BB101,1,0,
1964,A,,,AFCE,AFL East,BP102,0,0,
1964,A,,,AFCW,AFL West,SC107,1,0,
1964,A,,,AFCW,AFL West,KC109,0,0,
1964,A,,,AFCW,AFL West,OR105,0,0,
1964,A,,,AFCW,AFL West,DB106,0,0,
1965,N,NFLEC,NFL Eastern Confrence,,,CB085,0,1,
1965,N,NFLEC,NFL Eastern Confrence,,,NG042,0,0,
1965,N,NFLEC,NFL Eastern Confrence,,,PE066,0,0,
1965,N,NFLEC,NFL Eastern Confrence,,,PS073,0,0,
1965,N,NFLEC,NFL Eastern Confrence,,,SC097,0,0,
1965,N,NFLEC,NFL Eastern Confrence,,,WR071,0,0,
1965,N,NFLEC,NFL Eastern Confrence,,,DC098,0,0,
1965,N,NFLWC,NFL Western Conference,,,LR079,0,0,
1965,N,NFLWC,NFL Western Conference,,,CB026,0,0,
1965,N,NFLWC,NFL Western Conference,,,BC096,0,0,
1965,N,NFLWC,NFL Western Conference,,,DL069,0,0,
1965,N,NFLWC,NFL Western Conference,,,GP020,0,1,
1965,N,NFLWC,NFL Western Conference,,,S4086,0,0,
1965,N,NFLWC,NFL Western Conference,,,MV108,0,0,
1965,A,,,AFCE,AFL East,HO099,0,0,
1965,A,,,AFCE,AFL East,NJ110,0,0,
1965,A,,,AFCE,AFL East,BB101,1,0,
1965,A,,,AFCE,AFL East,BP102,0,0,
1965,A,,,AFCW,AFL West,SC107,1,0,
1965,A,,,AFCW,AFL West,KC109,0,0,
1965,A,,,AFCW,AFL West,OR105,0,0,
1965,A,,,AFCW,AFL West,DB106,0,0,
1966,N,NFLEC,NFL Eastern Confrence,,,CB085,0,0,
1966,N,NFLEC,NFL Eastern Confrence,,,NG042,0,0,
1966,N,NFLEC,NFL Eastern Confrence,,,PE066,0,0,
1966,N,NFLEC,NFL Eastern Confrence,,,PS073,0,0,
1966,N,NFLEC,NFL Eastern Confrence,,,SC097,0,0,
1966,N,NFLEC,NFL Eastern Confrence,,,WR071,0,0,
1966,N,NFLEC,NFL Eastern Confrence,,,DC098,0,1,
1966,N,NFLEC,NFL Western Conference,,,AF112,0,0,
1966,N,NFLWC,NFL Western Conference,,,LR079,0,0,
1966,N,NFLWC,NFL Western Conference,,,CB026,0,0,
1966,N,NFLWC,NFL Western Conference,,,BC096,0,0,
1966,N,NFLWC,NFL Western Conference,,,DL069,0,0,
